+----------------------------+-------------+--------------------------------------+-------------------------------------------------------------------------+
|            Name            |    Rarity   |                 Type                 |                                   Link                                  |
|         Contradict         |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394523 |
|         Corpseweft         |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394524 |
|      Crater Elemental      |     Rare    |       Creature—Elemental(0/6)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394525 |
|    Cunning Breezedancer    |   Uncommon  |         Creature—Dragon(4/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394526 |
|   Custodian of the Trove   |    Common   |     ArtifactCreature—Golem(2/5)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394527 |
|       Damnable Pact        |     Rare    |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394528 |
|    Dance of the Skywise    |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394529 |
|     Deadly Wanderings      |   Uncommon  |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394530 |
|         Death Wind         |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394531 |
|    Deathbringer Regent     |     Rare    |         Creature—Dragon(5/6)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394532 |
|      Deathmist Raptor      | Mythic Rare |      Creature—LizardBeast(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394533 |
|           Defeat           |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394534 |
|       Den Protector        |     Rare    |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394535 |
|   Descent of the Dragons   | Mythic Rare |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394536 |
|       Dirgur Nemesis       |    Common   |        Creature—Serpent(6/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394537 |
|    Display of Dominance    |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394538 |
|       Draconic Roar        |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394539 |
|       Dragon Fodder        |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394540 |
|       Dragon Hunter        |   Uncommon  |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394541 |
|       Dragon Tempest       |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394542 |
|      Dragon Whisperer      | Mythic Rare |      Creature—HumanShaman(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394543 |
|      Dragonloft Idol       |   Uncommon  |    ArtifactCreature—Gargoyle(3/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394545 |
|     Dragonlord Atarka      | Mythic Rare |  LegendaryCreature—ElderDragon(8/8)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394546 |
|     Dragonlord Dromoka     | Mythic Rare |  LegendaryCreature—ElderDragon(5/7)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394547 |
|    Dragonlord Kolaghan     | Mythic Rare |  LegendaryCreature—ElderDragon(6/5)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394548 |
|     Dragonlord Ojutai      | Mythic Rare |  LegendaryCreature—ElderDragon(5/4)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394549 |
|    Dragonlord Silumgar     | Mythic Rare |  LegendaryCreature—ElderDragon(3/5)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394550 |
|  Dragonlord's Prerogative  |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394551 |
|    Dragonlord's Servant    |   Uncommon  |      Creature—GoblinShaman(1/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394552 |
|    Dragon's Eye Sentry     |    Common   |       Creature—HumanMonk(1/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394544 |
|    Dragon-Scarred Bear     |    Common   |          Creature—Bear(3/2)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394553 |
|      Dromoka Captain       |   Uncommon  |      Creature—HumanSoldier(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394554 |
|     Dromoka Dunecaster     |    Common   |      Creature—HumanWizard(0/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394555 |
|      Dromoka Monument      |   Uncommon  |               Artifact               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394556 |
|      Dromoka Warrior       |    Common   |      Creature—HumanWarrior(3/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394557 |
|     Dromoka's Command      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394558 |
|       Dromoka's Gift       |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394559 |
|           Duress           |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394560 |
|     Dutiful Attendant      |    Common   |      Creature—HumanWarrior(1/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394561 |
|   Echoes of the Kin Tree   |   Uncommon  |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394562 |
|     Elusive Spellfist      |    Common   |       Creature—HumanMonk(1/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394563 |
|       Encase in Ice        |   Uncommon  |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394564 |
|     Enduring Scalelord     |   Uncommon  |         Creature—Dragon(4/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394565 |
|      Enduring Victory      |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394566 |
|     Epic Confrontation     |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394567 |
|       Evolving Wilds       |    Common   |                 Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394568 |
|    Explosive Vegetation    |   Uncommon  |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394569 |
|       Fate Forgotten       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394570 |
|          Flatten           |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394571 |
|      Foe-Razer Regent      |     Rare    |         Creature—Dragon(4/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394572 |
|           Forest           |     Land    |           BasicLand—Forest           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394573 |
|        Foul Renewal        |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394576 |
|   Foul-Tongue Invocation   |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394577 |
|     Foul-Tongue Shriek     |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394578 |
|        Gate Smasher        |   Uncommon  |          Artifact—Equipment          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394579 |
|       Glade Watcher        |    Common   |       Creature—Elemental(3/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394580 |
|       Glaring Aegis        |    Common   |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394581 |
|     Gleam of Authority     |     Rare    |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394582 |
|           Glint            |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394583 |
|     Graceblade Artisan     |   Uncommon  |       Creature—HumanMonk(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394584 |
|         Gravepurge         |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394585 |
|   Great Teacher's Decree   |   Uncommon  |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394586 |
|   Guardian Shield-Bearer   |    Common   |      Creature—HumanSoldier(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394587 |
|        Gudul Lurker        |   Uncommon  |       Creature—Salamander(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394588 |
|       Gurmag Drowner       |    Common   |       Creature—NagaWizard(2/4)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394589 |
|      Hand of Silumgar      |    Common   |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394590 |
|   Harbinger of the Hunt    |     Rare    |         Creature—Dragon(5/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394591 |
|     Hardened Berserker     |    Common   |     Creature—HumanBerserker(3/2)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394592 |
| Haven of the Spirit Dragon |     Rare    |                 Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394593 |
|      Hedonist's Trove      |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394594 |
|     Herald of Dromoka      |    Common   |      Creature—HumanWarrior(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394595 |
|     Herdchaser Dragon      |   Uncommon  |         Creature—Dragon(3/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394596 |
|    Hidden Dragonslayer     |     Rare    |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394597 |
|       Icefall Regent       |     Rare    |         Creature—Dragon(4/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394598 |
|       Illusory Gains       |     Rare    |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394599 |
|       Impact Tremors       |    Common   |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394600 |
|       Inspiring Call       |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394601 |
|         Ire Shaman         |     Rare    |       Creature—OrcShaman(2/1)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394602 |
|           Island           |     Land    |           BasicLand—Island           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394603 |
|     Keeper of the Lens     |    Common   |     ArtifactCreature—Golem(1/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394606 |
|        Kindled Fury        |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394607 |
|     Kolaghan Aspirant      |    Common   |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394608 |
|    Kolaghan Forerunners    |   Uncommon  |     Creature—HumanBerserker(*/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394609 |
|     Kolaghan Monument      |   Uncommon  |               Artifact               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394610 |
|    Kolaghan Skirmisher     |    Common   |      Creature—HumanWarrior(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394611 |
|    Kolaghan Stormsinger    |    Common   |      Creature—HumanShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394612 |
|     Kolaghan's Command     |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394613 |
|    Learn from the Past     |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394614 |
|    Lightning Berserker     |   Uncommon  |     Creature—HumanBerserker(1/1)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394615 |
|        Lightwalker         |    Common   |      Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394616 |
|        Living Lore         |     Rare    |         Creature—Avatar(*/*)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394617 |
|         Lose Calm          |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394618 |
|       Lurking Arynx        |   Uncommon  |        Creature—CatBeast(3/5)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394619 |
|       Magmatic Chasm       |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394620 |
|   Marang River Skeleton    |   Uncommon  |        Creature—Skeleton(1/1)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394621 |
|         Marsh Hulk         |    Common   |       Creature—ZombieOgre(4/6)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394622 |
|          Mind Rot          |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394623 |
|      Minister of Pain      |   Uncommon  |      Creature—HumanShaman(2/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394624 |
|       Mirror Mockery       |     Rare    |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394625 |
|       Misthoof Kirin       |    Common   |         Creature—Kirin(2/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394626 |
|    Monastery Loremaster    |    Common   |      Creature—DjinnWizard(3/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394627 |
|          Mountain          |     Land    |          BasicLand—Mountain          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394628 |
|     Mystic Meditation      |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394631 |
|       Myth Realized        |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394632 |
|    Narset Transcendent     | Mythic Rare |        Planeswalker—Narset(6)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394633 |
|         Naturalize         |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394634 |
|     Necromaster Dragon     |     Rare    |         Creature—Dragon(4/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394635 |
|           Negate           |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394636 |
|      Obscuring Æther       |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394637 |
|      Ojutai Exemplars      | Mythic Rare |       Creature—HumanMonk(4/4)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394638 |
|     Ojutai Interceptor     |    Common   |      Creature—BirdSoldier(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394639 |
|      Ojutai Monument       |   Uncommon  |               Artifact               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394640 |
|      Ojutai's Breath       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394641 |
|      Ojutai's Command      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394642 |
|      Ojutai's Summons      |    Common   |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394643 |
|      Orator of Ojutai      |   Uncommon  |        Creature—BirdMonk(0/4)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394644 |
|          Pacifism          |    Common   |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394645 |
|      Palace Familiar       |    Common   |          Creature—Bird(1/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394646 |
|        Pinion Feast        |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394647 |
|       Pitiless Horde       |     Rare    |      Creature—OrcBerserker(5/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394648 |
|           Plains           |     Land    |           BasicLand—Plains           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394649 |
|    Press the Advantage     |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394652 |
|      Pristine Skywise      |     Rare    |         Creature—Dragon(6/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394653 |
|    Profaner of the Dead    |     Rare    |       Creature—NagaWizard(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394654 |
|      Profound Journey      |     Rare    |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394655 |
|     Qal Sisma Behemoth     |   Uncommon  |      Creature—OgreWarrior(5/5)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394656 |
|       Qarsi Deceiver       |   Uncommon  |       Creature—NagaWizard(0/4)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394657 |
|        Qarsi Sadist        |    Common   |      Creature—HumanCleric(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394658 |
|       Radiant Purge        |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394659 |
|    Rakshasa Gravecaller    |   Uncommon  |        Creature—CatDemon(3/6)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394660 |
|        Reckless Imp        |    Common   |          Creature—Imp(2/2)           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394661 |
|     Reduce in Stature      |    Common   |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394662 |
|       Rending Volley       |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394663 |
|          Resupply          |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394664 |
|       Revealing Wind       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394665 |
|     Risen Executioner      | Mythic Rare |     Creature—ZombieWarrior(4/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394666 |
|           Roast            |   Uncommon  |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394667 |
|     Ruthless Deathfang     |   Uncommon  |         Creature—Dragon(4/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394668 |
|    Sabertooth Outrider     |    Common   |      Creature—HumanWarrior(4/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394669 |
|    Salt Road Ambushers     |   Uncommon  |      Creature—HoundWarrior(3/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394670 |
|  Salt Road Quartermasters  |   Uncommon  |      Creature—HumanSoldier(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394671 |
|      Sandcrafter Mage      |    Common   |      Creature—HumanWizard(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394672 |
|    Sandsteppe Scavenger    |    Common   |       Creature—HoundScout(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394673 |
|     Sandstorm Charger      |    Common   |         Creature—Beast(3/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394674 |
|      Sarkhan Unbroken      | Mythic Rare |       Planeswalker—Sarkhan(4)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394675 |
|       Sarkhan's Rage       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394676 |
|     Sarkhan's Triumph      |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394677 |
|       Savage Ventmaw       |   Uncommon  |         Creature—Dragon(4/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394678 |
|       Scale Blessing       |   Uncommon  |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394679 |
|    Scaleguard Sentinels    |   Uncommon  |      Creature—HumanSoldier(2/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394680 |
|       Scion of Ugin        |   Uncommon  |      Creature—DragonSpirit(4/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394681 |
|    Screamreach Brawler     |    Common   |      Creature—OrcBerserker(2/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394682 |
|     Secure the Wastes      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394683 |
|      Segmented Krotiq      |    Common   |         Creature—Insect(6/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394684 |
|      Seismic Rupture       |   Uncommon  |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394685 |
|    Self-Inflicted Wound    |   Uncommon  |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394686 |
|    Servant of the Scale    |    Common   |      Creature—HumanSoldier(0/0)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394687 |
|  Shaman of Forgotten Ways  | Mythic Rare |      Creature—HumanShaman(2/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394688 |
|      Shambling Goblin      |    Common   |      Creature—ZombieGoblin(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394689 |
