+-------------------------------+-------------+--------+----------------------------------------+-------------------------------------------------------------------------+
|              Name             |    Rarity   | Price  |                  Type                  |                                   Link                                  |
|       Brutal Hordechief       | Mythic Rare | $ 2.33 |       Creature -Orc Warrior(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391806 |
|        Cached Defenses        |   Uncommon  | $ 0.20 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391807 |
|          Channel Harm         |   Uncommon  | $ 0.18 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391808 |
|         Citadel Siege         |     Rare    | $ 0.36 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391809 |
|           Cloudform           |   Uncommon  | $ 0.22 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391810 |
|       Collateral Damage       |    Common   | $ 0.15 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391811 |
| Crucible of the Spirit Dragon |     Rare    | $ 0.45 |                  Land                  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391812 |
|          Crux of Fate         |     Rare    | $ 1.55 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391813 |
|         Cunning Strike        |    Common   | $ 0.14 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391814 |
|      Daghatar the Adamant     |     Rare    | $ 0.31 | Legendary Creature -Human Warrior(0/0) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391815 |
|           Dark Deal           |   Uncommon  | $ 0.25 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391816 |
|          Defiant Ogre         |    Common   | $ 0.14 |      Creature -Ogre Warrior(3/5)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391817 |
|       Destructor Dragon       |   Uncommon  | $ 0.21 |         Creature -Dragon(4/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391818 |
|    Diplomacy of the Wastes    |   Uncommon  | $ 0.20 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391819 |
|        Dismal Backwater       |    Common   | $ 0.15 |                  Land                  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391820 |
|         Douse in Gloom        |    Common   | $ 0.14 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391821 |
|        Dragon Bell Monk       |    Common   | $ 0.14 |       Creature -Human Monk(2/2)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391822 |
|           Dragonrage          |   Uncommon  | $ 0.19 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391823 |
|      Dragonscale General      |     Rare    | $ 0.31 |      Creature -Human Warrior(2/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391824 |
|      Dromoka, the Eternal     |     Rare    | $ 0.40 |    Legendary Creature -Dragon(5/5)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391825 |
|        Elite Scaleguard       |   Uncommon  | $ 0.19 |      Creature -Human Soldier(2/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391826 |
|       Enhanced Awareness      |    Common   | $ 0.14 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391827 |
|        Ethereal Ambush        |    Common   | $ 0.14 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391828 |
|          Fascination          |   Uncommon  | $ 0.20 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391829 |
|       Fearsome Awakening      |   Uncommon  | $ 0.19 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391830 |
|         Feral Krushok         |    Common   | $ 0.14 |          Creature -Beast(5/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391831 |
|       Fierce Invocation       |    Common   | $ 0.14 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391832 |
|        Flamerush Rider        |     Rare    | $ 0.26 |      Creature -Human Warrior(3/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391833 |
|       Flamewake Phoenix       |     Rare    | $ 0.53 |         Creature -Phoenix(2/2)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391834 |
|             Forest            |     Land    |  N/A   |           Basic Land -Forest           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391835 |
|       Formless Nurturing      |    Common   | $ 0.14 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391837 |
|         Friendly Fire         |   Uncommon  | $ 0.20 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391838 |
|       Frontier Mastodon       |    Common   | $ 0.14 |        Creature -Elephant(3/2)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391839 |
|         Frontier Siege        |     Rare    | $ 0.49 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391840 |
|          Frost Walker         |   Uncommon  | $ 0.20 |        Creature -Elemental(4/1)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391841 |
|    Fruit of the First Tree    |   Uncommon  | $ 0.21 |           Enchantment -Aura            | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391842 |
|      Ghastly Conscription     | Mythic Rare | $ 0.63 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391843 |
|        Goblin Boom Keg        |   Uncommon  | $ 0.20 |                Artifact                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391844 |
|       Goblin Heelcutter       |    Common   | $ 0.16 |    Creature -Goblin Berserker(3/2)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391845 |
|           Gore Swine          |    Common   | $ 0.14 |          Creature -Boar(4/1)           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391846 |
|         Grave Strength        |   Uncommon  | $ 0.21 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391847 |
|       Great-Horn Krushok      |    Common   | $ 0.14 |          Creature -Beast(3/5)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391848 |
|          Grim Contest         |    Common   | $ 0.14 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391849 |
|         Gurmag Angler         |    Common   | $ 0.24 |       Creature -Zombie Fish(5/5)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391850 |
|        Harsh Sustenance       |    Common   | $ 0.13 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391851 |
|          Hero's Blade         |   Uncommon  | $ 0.24 |          Artifact -Equipment           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391852 |
|     Hewed Stone Retainers     |   Uncommon  | $ 0.20 |     Artifact Creature -Golem(4/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391853 |
|         Honor's Reward        |   Uncommon  | $ 0.18 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391854 |
|        Hooded Assassin        |    Common   | $ 0.15 |     Creature -Human Assassin(1/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391855 |
|        Humble Defector        |   Uncommon  | $ 0.23 |       Creature -Human Rogue(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391856 |
|         Hungering Yeti        |   Uncommon  | $ 0.20 |          Creature -Yeti(4/4)           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391857 |
|         Hunt the Weak         |    Common   | $ 0.14 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391858 |
|             Island            |     Land    |  N/A   |           Basic Land -Island           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391859 |
|        Jeskai Barricade       |   Uncommon  | $ 0.21 |          Creature -Wall(0/4)           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391861 |
|       Jeskai Infiltrator      |     Rare    | $ 0.29 |       Creature -Human Monk(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391862 |
|        Jeskai Runemark        |    Common   | $ 0.14 |           Enchantment -Aura            | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391863 |
|          Jeskai Sage          |    Common   | $ 0.13 |       Creature -Human Monk(1/1)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391864 |
|         Jungle Hollow         |    Common   | $ 0.14 |                  Land                  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391865 |
|   Kolaghan, the Storm's Fury  |     Rare    | $ 0.55 |    Legendary Creature -Dragon(4/5)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391866 |
|           Lightform           |   Uncommon  | $ 0.18 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391867 |
|       Lightning Shrieker      |    Common   | $ 0.14 |         Creature -Dragon(5/5)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391868 |
|        Lotus Path Djinn       |    Common   | $ 0.14 |       Creature -Djinn Monk(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391869 |
|       Lotus-Eye Mystics       |   Uncommon  | $ 0.20 |       Creature -Human Monk(3/2)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391870 |
|         Map the Wastes        |    Common   | $ 0.13 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391871 |
|      Marang River Prowler     |   Uncommon  | $ 0.21 |       Creature -Human Rogue(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391872 |
|         Mardu Runemark        |    Common   | $ 0.14 |           Enchantment -Aura            | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391873 |
|          Mardu Scout          |    Common   | $ 0.14 |      Creature -Goblin Scout(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391874 |
|       Mardu Shadowspear       |   Uncommon  | $ 0.32 |      Creature -Human Warrior(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391875 |
|      Mardu Strike Leader      |     Rare    | $ 0.84 |      Creature -Human Warrior(3/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391876 |
|        Mardu Woe-Reaper       |   Uncommon  | $ 0.29 |      Creature -Human Warrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391877 |
|     Mastery of the Unseen     |     Rare    | $ 0.48 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391878 |
|     Merciless Executioner     |   Uncommon  | $ 0.20 |       Creature -Orc Warrior(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391879 |
|        Mindscour Dragon       |   Uncommon  | $ 0.21 |         Creature -Dragon(4/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391880 |
|         Mistfire Adept        |   Uncommon  | $ 0.20 |       Creature -Human Monk(3/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391881 |
|            Mob Rule           |     Rare    | $ 0.28 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391882 |
+-------------------------------+-------------+--------+----------------------------------------+-------------------------------------------------------------------------+
