Goblin War Paint,Common,$ 0.14,Enchantment—Aura,http://bit.ly/1Pbb1Yb
Grave Birthing,Common,$ 0.14,Instant,http://bit.ly/1Pbb46t
Greenwarden of Murasa,Mythic Rare,$ 1.75,Creature—Elemental(5/4),http://bit.ly/1Pbb4mI
Grip of Desolation,Uncommon,$ 0.17,Instant,http://bit.ly/1Pbb4mK
Grove Rumbler,Uncommon,$ 0.17,Creature—Elemental(3/3),http://bit.ly/1Pbb4mY
Grovetender Druids,Uncommon,$ 0.18,Creature—ElfDruidAlly(3/3),http://bit.ly/1Pbb4De
Gruesome Slaughter,Rare,$ 0.29,Sorcery,http://bit.ly/1Pbb4Dh
Guardian of Tazeem,Rare,$ 0.26,Creature—Sphinx(4/5),http://bit.ly/1Pbb5ak
Guul Draz Overseer,Rare,$ 0.26,Creature—Vampire(3/4),http://bit.ly/1Pbb4Do
Hagra Sharpshooter,Uncommon,$ 0.18,Creature—HumanAssassinAlly(2/2),http://bit.ly/1Pbb4Dw
Halimar Tidecaller,Uncommon,$ 0.17,Creature—HumanWizardAlly(2/3),http://bit.ly/1Pbb7yZ
Hedron Archive,Uncommon,$ 0.32,Artifact,http://bit.ly/1Pbb5qQ
Hedron Blade,Common,$ 0.14,Artifact—Equipment,http://bit.ly/1Pbb7za
