+-----------------------------+-------------+---------------------------------------+-------------------------------------------------------------------------+
|             Name            |    Rarity   |                  Type                 |                                   Link                                  |
|      Dictate of Kruphix     |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380402 |
|   Dictate of the Twin Gods  |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380403 |
|      Disciple of Deceit     |   Uncommon  |        Creature—HumanRogue(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380404 |
|        Doomwake Giant       |     Rare    |     EnchantmentCreature—Giant(4/6)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380405 |
|     Dreadbringer Lampads    |    Common   |     EnchantmentCreature—Nymph(4/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380406 |
|      Eagle of the Watch     |    Common   |           Creature—Bird(2/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380407 |
|     Eidolon of Blossoms     |     Rare    |    EnchantmentCreature—Spirit(2/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380408 |
|     Eidolon of Rhetoric     |   Uncommon  |    EnchantmentCreature—Spirit(1/4)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380409 |
|  Eidolon of the Great Revel |     Rare    |    EnchantmentCreature—Spirit(2/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380410 |
|     Extinguish All Hope     |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380411 |
|       Feast of Dreams       |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380412 |
|      Felhide Petrifier      |   Uncommon  |     Creature—MinotaurWarrior(2/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380413 |
|     Flamespeaker's Will     |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380414 |
|   Fleetfeather Cockatrice   |   Uncommon  |        Creature—Cockatrice(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380415 |
|       Flurry of Horns       |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380416 |
|      Font of Fertility      |    Common   |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380417 |
|       Font of Fortunes      |    Common   |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380418 |
|         Font of Ire         |    Common   |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380419 |
|        Font of Return       |    Common   |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380420 |
|        Font of Vigor        |    Common   |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380421 |
|       Forgeborn Oreads      |   Uncommon  |     EnchantmentCreature—Nymph(4/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380422 |
|      Gluttonous Cyclops     |    Common   |         Creature—Cyclops(5/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380423 |
|       Gnarled Scarhide      |   Uncommon  |   EnchantmentCreature—Minotaur(2/1)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380424 |
|      Godhunter Octopus      |    Common   |         Creature—Octopus(5/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380425 |
|           Godsend           | Mythic Rare |      LegendaryArtifact—Equipment      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380426 |
|         Golden Hind         |    Common   |           Creature—Elk(2/1)           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380427 |
|        Goldenhide Ox        |   Uncommon  |      EnchantmentCreature—Ox(5/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380428 |
|     Gold-Forged Sentinel    |   Uncommon  |     ArtifactCreature—Chimera(4/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380429 |
|        Grim Guardian        |    Common   |    EnchantmentCreature—Zombie(1/4)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380430 |
|       Hall of Triumph       |     Rare    |           LegendaryArtifact           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380431 |
|       Harness by Force      |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380432 |
|     Harvestguard Alseids    |    Common   |     EnchantmentCreature—Nymph(2/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380433 |
|         Heroes' Bane        |     Rare    |          Creature—Hydra(0/0)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380434 |
|         Hour of Need        |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380435 |
|            Hubris           |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380436 |
|      Humbler of Mortals     |    Common   |   EnchantmentCreature—Elemental(5/5)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380437 |
|      Hydra Broodmaster      |     Rare    |          Creature—Hydra(7/7)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380438 |
|        Hypnotic Siren       |     Rare    |     EnchantmentCreature—Siren(1/1)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380439 |
|     Interpret the Signs     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380440 |
|    Iroas, God of Victory    | Mythic Rare | LegendaryEnchantmentCreature—God(7/4) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380441 |
|    Keranos, God of Storms   | Mythic Rare | LegendaryEnchantmentCreature—God(6/5) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380442 |
| King Macar, the Gold-Cursed |     Rare    |      LegendaryCreature—Human(2/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380443 |
|      Kiora's Dismissal      |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380444 |
|     Knowledge and Power     |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380445 |
|   Kruphix, God of Horizons  | Mythic Rare | LegendaryEnchantmentCreature—God(4/7) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380446 |
|      Kruphix's Insight      |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380447 |
|   Lagonna-Band Trailblazer  |    Common   |       Creature—CentaurScout(0/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380448 |
|       Launch the Fleet      |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380449 |
|      Leonin Iconoclast      |   Uncommon  |         Creature—CatMonk(3/2)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380450 |
|       Lightning Diadem      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380451 |
|         Magma Spray         |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380452 |
|       Mana Confluence       |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380453 |
|       Market Festival       |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380454 |
|     Master of the Feast     |     Rare    |     EnchantmentCreature—Demon(5/5)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380455 |
|       Mogis's Warhound      |   Uncommon  |     EnchantmentCreature—Hound(2/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380456 |
|       Mortal Obstinacy      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380457 |
|       Nature's Panoply      |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380458 |
|     Nessian Game Warden     |   Uncommon  |          Creature—Beast(4/5)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380459 |
|       Nightmarish End       |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380460 |
|         Nyx Infusion        |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380461 |
|          Nyx Weaver         |   Uncommon  |    EnchantmentCreature—Spider(2/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380462 |
|        Nyx-Fleece Ram       |   Uncommon  |     EnchantmentCreature—Sheep(0/5)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380463 |
|       Oakheart Dryads       |    Common   |  EnchantmentCreature—NymphDryad(2/3)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380464 |
|       Oppressive Rays       |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380465 |
|      Oreskos Swiftclaw      |    Common   |        Creature—CatWarrior(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380466 |
|       Pensive Minotaur      |    Common   |     Creature—MinotaurWarrior(2/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380467 |
|      Phalanx Formation      |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380468 |
|  Pharika, God of Affliction | Mythic Rare | LegendaryEnchantmentCreature—God(5/5) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380469 |
|       Pharika's Chosen      |    Common   |          Creature—Snake(1/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380470 |
|   Pheres-Band Thunderhoof   |    Common   |      Creature—CentaurWarrior(3/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380471 |
|     Pheres-Band Warchief    |     Rare    |      Creature—CentaurWarrior(3/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380472 |
|       Pin to the Earth      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380473 |
|      Polymorphous Rush      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380474 |
|    Prophetic Flamespeaker   | Mythic Rare |       Creature—HumanShaman(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380475 |
|      Pull from the Deep     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380476 |
|       Quarry Colossus       |   Uncommon  |          Creature—Giant(5/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380477 |
|     Ravenous Leucrocota     |    Common   |          Creature—Beast(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380478 |
|       Renowned Weaver       |    Common   |       Creature—HumanShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380479 |
|           Reprisal          |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380480 |
|       Returned Reveler      |    Common   |       Creature—ZombieSatyr(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380481 |
|   Revel of the Fallen God   |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380482 |
|       Reviving Melody       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380483 |
|     Riddle of Lightning     |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380484 |
|       Riptide Chimera       |   Uncommon  |    EnchantmentCreature—Chimera(3/4)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380485 |
|        Rise of Eagles       |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380486 |
|    Ritual of the Returned   |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380487 |
|      Rollick of Abandon     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380488 |
|         Rotted Hulk         |    Common   |        Creature—Elemental(2/5)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380489 |
|        Rouse the Mob        |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380490 |
|        Sage of Hours        | Mythic Rare |       Creature—HumanWizard(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380491 |
|      Satyr Grovedancer      |    Common   |       Creature—SatyrShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380492 |
|        Satyr Hoplite        |    Common   |       Creature—SatyrSoldier(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380493 |
|      Scourge of Fleets      |     Rare    |          Creature—Kraken(6/6)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380494 |
|       Setessan Tactics      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380495 |
|      Sightless Brawler      |   Uncommon  | EnchantmentCreature—HumanWarrior(3/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380496 |
|        Sigiled Skink        |    Common   |          Creature—Lizard(2/1)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380497 |
|       Sigiled Starfish      |    Common   |         Creature—Starfish(0/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380498 |
|    Silence the Believers    |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380499 |
|           Skybind           |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380500 |
|       Skyspear Cavalry      |   Uncommon  |       Creature—HumanSoldier(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380501 |
|     Solidarity of Heroes    |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380502 |
|       Spawn of Thraxes      |     Rare    |          Creature—Dragon(5/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380503 |
|          Spirespine         |   Uncommon  |     EnchantmentCreature—Beast(4/1)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380504 |
|        Spite of Mogis       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380505 |
|        Spiteful Blow        |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380506 |
|      Squelching Leeches     |   Uncommon  |          Creature—Leech(*/*)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380507 |
|           Starfall          |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380508 |
|     Stonewise Fortifier     |    Common   |       Creature—HumanWizard(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380509 |
|     Stormchaser Chimera     |   Uncommon  |         Creature—Chimera(2/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380510 |
|   Strength from the Fallen  |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380511 |
|      Supply-Line Cranes     |    Common   |           Creature—Bird(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380512 |
|       Swarmborn Giant       |   Uncommon  |          Creature—Giant(6/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380513 |
|      Temple of Epiphany     |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380514 |
|       Temple of Malady      |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380515 |
|     Tethmos High Priest     |   Uncommon  |        Creature—CatCleric(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380516 |
|      Thassa's Devourer      |    Common   |   EnchantmentCreature—Elemental(2/6)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380517 |
|         Thassa's Ire        |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380518 |
|     Thoughtrender Lamia     |   Uncommon  |     EnchantmentCreature—Lamia(5/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380519 |
|      Tormented Thoughts     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380520 |
|        Triton Cavalry       |   Uncommon  |      Creature—MerfolkSoldier(2/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380521 |
|     Triton Shorestalker     |    Common   |       Creature—MerfolkRogue(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380522 |
|          Twinflame          |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380523 |
|     Underworld Coinsmith    |   Uncommon  |  EnchantmentCreature—HumanCleric(2/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380524 |
|        War-Wing Siren       |    Common   |       Creature—SirenSoldier(1/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380525 |
|      Whitewater Naiads      |   Uncommon  |     EnchantmentCreature—Nymph(4/4)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380526 |
|      Wildfire Cerberus      |   Uncommon  |          Creature—Hound(4/3)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380527 |
|         Worst Fears         | Mythic Rare |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380528 |
|       Oakheart Dryads       |    Common   |  EnchantmentCreature—NymphDryad(2/3)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380464 |
|       Oppressive Rays       |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380465 |
|      Oreskos Swiftclaw      |    Common   |        Creature—CatWarrior(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380466 |
|       Pensive Minotaur      |    Common   |     Creature—MinotaurWarrior(2/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380467 |
|      Phalanx Formation      |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380468 |
|  Pharika, God of Affliction | Mythic Rare | LegendaryEnchantmentCreature—God(5/5) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380469 |
|       Pharika's Chosen      |    Common   |          Creature—Snake(1/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380470 |
|   Pheres-Band Thunderhoof   |    Common   |      Creature—CentaurWarrior(3/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380471 |
|     Pheres-Band Warchief    |     Rare    |      Creature—CentaurWarrior(3/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380472 |
|       Pin to the Earth      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380473 |
|      Polymorphous Rush      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380474 |
|    Prophetic Flamespeaker   | Mythic Rare |       Creature—HumanShaman(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380475 |
|      Pull from the Deep     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380476 |
|       Quarry Colossus       |   Uncommon  |          Creature—Giant(5/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380477 |
|     Ravenous Leucrocota     |    Common   |          Creature—Beast(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380478 |
|       Renowned Weaver       |    Common   |       Creature—HumanShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380479 |
|           Reprisal          |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380480 |
|       Returned Reveler      |    Common   |       Creature—ZombieSatyr(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380481 |
|   Revel of the Fallen God   |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380482 |
|       Reviving Melody       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380483 |
|     Riddle of Lightning     |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380484 |
|       Riptide Chimera       |   Uncommon  |    EnchantmentCreature—Chimera(3/4)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380485 |
|        Rise of Eagles       |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380486 |
|    Ritual of the Returned   |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380487 |
|      Rollick of Abandon     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380488 |
|         Rotted Hulk         |    Common   |        Creature—Elemental(2/5)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380489 |
|        Rouse the Mob        |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380490 |
|        Sage of Hours        | Mythic Rare |       Creature—HumanWizard(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380491 |
|      Satyr Grovedancer      |    Common   |       Creature—SatyrShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380492 |
